Description,Comment,Designator,Footprint,Part,Alternative Part,JLCPCB Part,Quantity
"17V Clamp 5A (8/20Aµs) Ipp Tvs Diode Surface Mount SOT-23-6","USBLC6-2SC6","U21","SOT95P280X145-6N","USBLC6-2SC6","","C2827654","1"
"USB 2.0 HIGH SPEED 4-PORT HUB CONTROLLER","FE1.1S-BQFN24B","U23","QFN50P400X400X80-25N-D","FE1.1S-BQFN24B","","C6776948","1"
"256-Kbit I2C-compatible Serial EEPROM","24c256","U24","SO-8_M","AT24C256C","","C6482","1"
"Phy Eth 2/2 Transceiver Full RMII 24-QFN-EP _4x4_","LAN8720A-CP-TR","U26","QFN50P400X400X100-25N","LAN8720A-CP-TR","","C45223","1"
"THR-3.5-12P","1787056","X1","DMC 1.5/ 6-G1F-3.5-LR P20THR 1787056","1787056","","C2923273","1"
"THR-3.5-24P","1787111","X2","DMC 1,5/12-G1F-3,5-LRP20THRR72","1787111","","1787111","1"
"USB Connector USB TYPE C UPRIGHT STRAIGHT TAB 14 PIN","KUSBX-SL-CS1N14-B","X3","MOLEX_2169890001","KUSBX-SL-CS1N14-B","","C2894906","1"
"DIP RJ45 Connector;","HR915340A'","X4","RJ45-TH_HR915340A","HR915340A","","C2760325","1"
"Crystal Oscillator","NX3225GD","Y1, Y3","NX3225GD","NX3225GD-8MHZ-STD-CRA-3","","C889706","2"
"Crystal Oscillator","NX3215SA-32.768K-STD-MUA-14","Y2","XTAL_NX3215SA-32.768K-STD-MUA-8","NX3215SA-32.768K-STD-MUA-14","","C156244","1"
"Crystal Oscillator","X503212MSB2GI","Y4","X5032","X503212MSB2GI","","C112573","1"
"Crystal Oscillator","X503225MSB2GI","Y5","X5032","X503225MSB2GI","","C112569","1"
